
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = 
     poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
2/4/5/6                    49 -1001.58 2104.25 152.54   0.00
2/3/4/5/7/8/9/10/11        52  -998.39 2104.28 152.56   0.00
4/5/6/7/8/10               50 -1000.59 2104.41 152.69   0.00
1/3/4/8/9/11               29 -1022.69 2104.47 152.76   0.00
4/5/6/10/11/12             50 -1000.67 2104.58 152.86   0.00
1/3/4/9/11                 28 -1023.79 2104.59 152.87   0.00
1/3/4/8/9/10               31 -1020.74 2104.73 153.01   0.00
4/5/6/8/10/11              50 -1000.84 2104.91 153.19   0.00
2/4/5/6/7                  50 -1000.86 2104.95 153.23   0.00
4/5/6/10/12                49 -1001.93 2104.96 153.24   0.00
1/3/4/9/10                 30 -1021.95 2105.07 153.35   0.00
4/5/6/8/10                 49 -1002.05 2105.19 153.47   0.00
1/3/4/7/9/11               29 -1023.24 2105.57 153.85   0.00
4/5/6/7/8/10/11/12         52  -999.04 2105.57 153.85   0.00
1/2/3/4/7/8/11             28 -1024.38 2105.77 154.05   0.00
1/3/4/7/8/9/11             30 -1022.32 2105.81 154.10   0.00
2/4/5/6/11                 50 -1001.37 2105.96 154.25   0.00
2/4/5/6/12                 50 -1001.38 2105.99 154.27   0.00
1/3/4/7/8/9/10             32 -1020.38 2106.08 154.36   0.00
1/3/4/8/9/10/11            32 -1020.38 2106.09 154.37   0.00
1/3/4/7/9/10               31 -1021.43 2106.10 154.39   0.00
4/5/6/7/8/10/12            51 -1000.46 2106.29 154.57   0.00
2/4/5/6/8                  50 -1001.56 2106.35 154.63   0.00
2/4/5/6/7/11               51 -1000.58 2106.51 154.79   0.00
4/5/6/8/10/11/12           51 -1000.66 2106.68 154.96   0.00
2/4/5/6/7/12               51 -1000.71 2106.78 155.06   0.00
1/3/4/9/10/11              31 -1021.77 2106.78 155.07   0.00
4/5/6/8/10/12              50 -1001.86 2106.96 155.24   0.00
2/4/5/6/7/8                51 -1000.85 2107.06 155.34   0.00
1/3/4/7/8/9/10/11          33 -1020.11 2107.62 155.91   0.00
2/4/5/6/11/12              51 -1001.15 2107.67 155.95   0.00
1/3/4/7/9/10/11            32 -1021.31 2107.95 156.23   0.00
2/4/5/6/8/12               51 -1001.31 2107.98 156.27   0.00
2/4/5/6/8/11               51 -1001.36 2108.08 156.36   0.00
2/4/5/6/7/11/12            52 -1000.41 2108.31 156.59   0.00
2/4/5/6/7/8/11             52 -1000.57 2108.64 156.92   0.00
2/4/5/6/7/8/12             52 -1000.66 2108.81 157.10   0.00
2/4/5/6/8/11/12            52 -1001.11 2109.71 157.99   0.00
2/4/5/6/7/8/11/12          53 -1000.38 2110.39 158.67   0.00
2/4/6/10                   30 -1025.52 2112.19 160.48   0.00
2/4/6/7/10                 31 -1024.81 2112.85 161.14   0.00
4/5/6/7/11                 47 -1008.08 2113.01 161.29   0.00
4/5/6/11                   46 -1009.39 2113.50 161.79   0.00
2/4/6/8/10                 31 -1025.26 2113.77 162.05   0.00
4/5/6/7                    46 -1009.63 2114.00 162.28   0.00
4/5/6                      45 -1010.73 2114.07 162.36   0.00
2/3/4/5                    40 -1016.01 2114.09 162.37   0.00
2/4/6/10/11                31 -1025.45 2114.14 162.42   0.00
2/4/6/10/12                31 -1025.51 2114.26 162.55   0.00
2/3/4/5/12                 41 -1015.18 2114.53 162.81   0.00
2/4/6/7/8/10               32 -1024.62 2114.55 162.84   0.00
2/4/6/7/10/11              32 -1024.76 2114.85 163.13   0.00
2/4/6/7/10/12              32 -1024.80 2114.93 163.21   0.00
4/5/6/7/11/12              48 -1008.00 2114.98 163.26   0.00
1/3/4/12                   22 -1035.21 2115.04 163.32   0.00
4/5/6/7/8/11               48 -1008.05 2115.06 163.35   0.00
4/5/6/11/12                47 -1009.27 2115.39 163.67   0.00
4/5/6/8/11                 47 -1009.35 2115.54 163.83   0.00
2/4/6/8/10/11              32 -1025.18 2115.67 163.96   0.00
2/4/6/8/10/12              32 -1025.21 2115.75 164.03   0.00
1/3/4/11/12                23 -1034.59 2115.88 164.16   0.00
4/5/6/7/8                  47 -1009.52 2115.88 164.17   0.00
4/5/6/8                    46 -1010.62 2115.98 164.26   0.00
4/5/6/12                   46 -1010.64 2116.02 164.30   0.00
4/5/6/7/12                 47 -1009.59 2116.02 164.30   0.00
2/3/4/5/8                  41 -1015.94 2116.04 164.33   0.00
2/3/4/5/8/12               42 -1014.90 2116.07 164.35   0.00
2/3/4/5/7                  41 -1015.96 2116.09 164.37   0.00
2/3/4/5/11                 41 -1015.99 2116.15 164.44   0.00
2/4/6/10/11/12             32 -1025.45 2116.21 164.50   0.00
1/3/4/10/12                25 -1032.74 2116.29 164.57   0.00
1/3/4/7/12                 23 -1034.90 2116.48 164.76   0.00
2/4/6/7/8/10/11            33 -1024.56 2116.52 164.80   0.00
2/3/4/5/7/12               42 -1015.13 2116.53 164.81   0.00
1/3/4/8/12                 23 -1034.94 2116.56 164.84   0.00
2/3/4/5/11/12              42 -1015.15 2116.57 164.86   0.00
2/4/6/7/8/10/12            33 -1024.59 2116.58 164.86   0.00
2/4/6/7/10/11/12           33 -1024.76 2116.93 165.22   0.00
4/5/6/7/8/11/12            49 -1007.92 2116.94 165.22   0.00
1/3/4/10/11/12             26 -1032.15 2117.17 165.46   0.00
4/5/6/8/11/12              48 -1009.16 2117.28 165.57   0.00
2/3/4/5/10                 43 -1014.48 2117.34 165.62   0.00
2/3/4/5/10/12              44 -1013.48 2117.46 165.74   0.00
1/3/4/7/11/12              24 -1034.37 2117.48 165.76   0.00
1/3/4/8/11/12              24 -1034.44 2117.62 165.91   0.00
2/4/6/8/10/11/12           33 -1025.13 2117.66 165.94   0.00
4/5/6/8/12                 47 -1010.43 2117.71 166.00   0.00
4/5/6/7/8/12               48 -1009.39 2117.74 166.03   0.00
4/6/7/10                   27 -1031.43 2117.80 166.09   0.00
1/3/4/7/8/12               24 -1034.56 2117.86 166.14   0.00
1/3/4/7/10/12              26 -1032.49 2117.86 166.14   0.00
1/3/4/8/10/12              26 -1032.56 2118.00 166.29   0.00
2/3/4/5/7/8                42 -1015.90 2118.07 166.36   0.00
2/3/4/5/7/8/12             43 -1014.86 2118.11 166.39   0.00
2/3/4/5/8/11               42 -1015.93 2118.13 166.42   0.00
2/3/4/5/7/11               42 -1015.93 2118.13 166.42   0.00
2/3/4/5/8/11/12            43 -1014.89 2118.16 166.44   0.00
4/6/10                     26 -1032.75 2118.38 166.67   0.00
2/3/4/5/7/11/12            43 -1015.08 2118.54 166.83   0.00
2/4/6/7/8/10/11/12         34 -1024.53 2118.55 166.83   0.00
2/3/4/5/8/10/12            45 -1013.14 2118.90 167.18   0.00
1/3/4/7/10/11/12           27 -1031.98 2118.91 167.19   0.00
1/3/4/8/10/11/12           27 -1032.06 2119.07 167.35   0.00
1/3/4/7/8/11/12            25 -1034.15 2119.12 167.40   0.00
2/3/4/5/7/10               44 -1014.38 2119.26 167.54   0.00
2/3/4/5/8/10               44 -1014.39 2119.29 167.57   0.00
2/3/4/5/7/10/12            45 -1013.37 2119.36 167.64   0.00
2/3/4/5/10/11              44 -1014.44 2119.37 167.65   0.00
2/3/4/5/10/11/12           45 -1013.42 2119.45 167.73   0.00
1/3/4/7/8/10/12            27 -1032.27 2119.48 167.76   0.00
1/3/4                      21 -1038.53 2119.63 167.92   0.00
4/6/7/8/10                 28 -1031.35 2119.71 167.99   0.00
4/6/7/10/12                28 -1031.37 2119.75 168.03   0.00
4/6/7/10/11                28 -1031.39 2119.80 168.08   0.00
2/3/4/5/7/8/11             43 -1015.88 2120.14 168.43   0.00
2/3/4/5/7/8/11/12          44 -1014.85 2120.19 168.47   0.00
4/6/8/10                   27 -1032.63 2120.20 168.48   0.00
4/6/10/12                  27 -1032.67 2120.28 168.56   0.00
4/6/10/11                  27 -1032.74 2120.42 168.70   0.00
1/3/4/7/8/10/11/12         28 -1031.86 2120.74 169.02   0.00
1/3/4/11                   22 -1038.06 2120.75 169.03   0.00
2/3/4/5/7/8/10/12          46 -1013.07 2120.86 169.15   0.00
2/3/4/5/8/10/11/12         46 -1013.12 2120.97 169.25   0.00
1/3/4/7                    22 -1038.17 2120.97 169.26   0.00
1/3/4/10                   24 -1036.20 2121.14 169.43   0.00
2/3/4/5/7/8/10             45 -1014.31 2121.24 169.52   0.00
2/3/4/5/7/10/11            45 -1014.32 2121.24 169.53   0.00
2/3/4/5/7/10/11/12         46 -1013.28 2121.30 169.58   0.00
2/3/4/5/8/10/11            45 -1014.37 2121.35 169.63   0.00
4/6/7/8/10/12              29 -1031.21 2121.52 169.80   0.00
3/4/5/9/12                 43 -1016.64 2121.66 169.94   0.00
1/3/4/8                    22 -1038.53 2121.68 169.96   0.00
4/6/7/8/10/11              29 -1031.32 2121.73 170.01   0.00
4/6/7/10/11/12             29 -1031.33 2121.74 170.02   0.00
4/6/8/10/12                28 -1032.44 2121.89 170.17   0.00
2/4/6                      27 -1033.61 2122.17 170.46   0.00
4/6/8/10/11                28 -1032.62 2122.25 170.53   0.00
1/3/4/7/11                 23 -1037.78 2122.25 170.54   0.00
4/6/10/11/12               28 -1032.65 2122.31 170.59   0.00
1/3/4/10/11                25 -1035.78 2122.36 170.65   0.00
1/3/4/7/10                 25 -1035.88 2122.57 170.85   0.00
1/3/4/8/11                 23 -1038.03 2122.74 171.03   0.00
2/3/4/5/7/8/10/11/12       47 -1013.03 2122.90 171.19   0.00
3/4/5/7/9/12               44 -1016.23 2122.96 171.25   0.00
1/3/4/7/8                  23 -1038.17 2123.03 171.31   0.00
1/3/4/8/10                 25 -1036.17 2123.14 171.42   0.00
2/4/6/7                    28 -1033.10 2123.22 171.50   0.00
2/3/4/5/7/8/10/11          46 -1014.27 2123.27 171.55   0.00
2/4/6/8                    28 -1033.22 2123.45 171.73   0.00
4/6/7/8/10/11/12           30 -1031.19 2123.54 171.82   0.00
3/4/5/8/9/12               44 -1016.53 2123.55 171.83   0.00
3/4/5/9/11/12              44 -1016.61 2123.71 172.00   0.00
3/4/5/9                    42 -1018.73 2123.73 172.01   0.00
4/6/8/10/11/12             29 -1032.43 2123.94 172.22   0.00
1/3/4/7/10/11              26 -1035.54 2123.95 172.23   0.00
2/4/6/11                   28 -1033.54 2124.09 172.37   0.00
1/2/4/5/9/10/12            48 -1012.59 2124.15 172.43   0.00
2/4/6/12                   28 -1033.61 2124.24 172.53   0.00
1/3/4/8/10/11              26 -1035.69 2124.25 172.54   0.00
1/3/4/7/8/11               24 -1037.77 2124.29 172.58   0.00
1/3/4/7/8/10               26 -1035.87 2124.61 172.89   0.00
2/4/6/7/8                  29 -1032.76 2124.61 172.90   0.00
3/4/5/7/8/9/12             45 -1016.07 2124.74 173.03   0.00
3/4/5/8/9                  43 -1018.21 2124.80 173.09   0.00
1/2/4/5/9/10               47 -1014.02 2124.88 173.17   0.00
3/4/5/7/9/11/12            45 -1016.23 2125.07 173.35   0.00
3/4/5/7/9                  43 -1018.38 2125.14 173.43   0.00
2/4/6/7/11                 29 -1033.05 2125.18 173.46   0.00
2/4/6/7/12                 29 -1033.10 2125.29 173.57   0.00
2/4/6/8/11                 29 -1033.12 2125.32 173.60   0.00
2/4/6/8/12                 29 -1033.17 2125.43 173.71   0.00
1/2/4/5/7/9/10/12          49 -1012.25 2125.61 173.89   0.00
3/4/5/8/9/11/12            45 -1016.51 2125.64 173.92   0.00
3/4/5/9/11                 43 -1018.67 2125.71 174.00   0.00
1/3/4/7/8/10/11            27 -1035.49 2125.92 174.20   0.00
3/4/5/7/8/9                44 -1017.73 2125.96 174.25   0.00
1/2/4/5/9/10/11/12         49 -1012.46 2126.02 174.31   0.00
2/4/6/11/12                29 -1033.54 2126.16 174.44   0.00
1/2/4/5/8/9/10/12          49 -1012.57 2126.25 174.53   0.00
1/2/4/5/7/9/10             48 -1013.67 2126.32 174.61   0.00
2/4/6/7/8/11               30 -1032.68 2126.53 174.81   0.00
3/4/5/9/10/12              46 -1015.91 2126.55 174.83   0.00
1/2/4/5/8/9/10             48 -1013.79 2126.55 174.84   0.00
2/4/6/7/8/12               30 -1032.74 2126.64 174.92   0.00
1/2/4/5/9/10/11            48 -1013.87 2126.71 175.00   0.00
1/2/4/5/9/12               45 -1017.09 2126.80 175.08   0.00
3/4/5/7/8/9/11/12          46 -1016.07 2126.86 175.15   0.00
3/4/5/8/9/11               44 -1018.19 2126.88 175.16   0.00
3/4/5/7/9/11               44 -1018.35 2127.19 175.48   0.00
2/4/6/7/11/12              30 -1033.04 2127.25 175.53   0.00
2/4/6/8/11/12              30 -1033.07 2127.30 175.59   0.00
1/2/4/5/7/9/10/11/12       50 -1012.17 2127.57 175.86   0.00
3/4/5/7/9/10/12            47 -1015.37 2127.59 175.87   0.00
1/2/4/5/7/8/9/10/12        50 -1012.22 2127.67 175.96   0.00
1/2/4/5/7/8/9/10           49 -1013.39 2127.89 176.17   0.00
1/2/4/5/9                  44 -1018.74 2127.97 176.26   0.00
3/4/5/7/8/9/11             45 -1017.73 2128.08 176.36   0.00
1/2/4/5/8/9/10/11/12       50 -1012.45 2128.14 176.42   0.00
1/2/4/5/7/9/10/11          49 -1013.58 2128.26 176.55   0.00
1/2/4/5/7/9/12             46 -1016.83 2128.39 176.67   0.00
4/6                        23 -1040.88 2128.45 176.73   0.00
3/4/5/8/9/10/12            47 -1015.80 2128.46 176.74   0.00
1/2/4/5/8/9/10/11          49 -1013.68 2128.46 176.74   0.00
4/6/7                      24 -1039.86 2128.46 176.74   0.00
3/4/5/9/10                 45 -1017.96 2128.52 176.81   0.00
2/4/6/7/8/11/12            31 -1032.66 2128.56 176.84   0.00
3/4/5/9/10/11/12           47 -1015.88 2128.62 176.90   0.00
1/2/4/5/9/11/12            46 -1016.98 2128.69 176.97   0.00
1/2/4/5/8/9/12             46 -1017.09 2128.90 177.19   0.00
3/4/5/7/8/9/10/12          48 -1015.20 2129.37 177.65   0.00
1/2/4/5/7/9                45 -1018.45 2129.52 177.81   0.00
3/4/5/8/9/10               46 -1017.45 2129.64 177.92   0.00
1/2/4/5/7/8/9/10/11/12     51 -1012.15 2129.67 177.95   0.00
3/4/5/7/9/10               46 -1017.48 2129.70 177.98   0.00
3/4/5/7/9/10/11/12         48 -1015.36 2129.70 177.98   0.00
1/2/4/5/8/9                45 -1018.55 2129.71 177.99   0.00
1/2/4/5/9/11               45 -1018.60 2129.82 178.10   0.00
1/2/4/5/7/8/9/10/11        50 -1013.34 2129.90 178.18   0.00
4/6/8                      24 -1040.61 2129.97 178.26   0.00
4/6/7/8                    25 -1039.62 2130.05 178.33   0.00
1/2/4/5/7/9/11/12          47 -1016.76 2130.36 178.65   0.00
4/6/7/11                   25 -1039.78 2130.37 178.66   0.00
4/6/11                     24 -1040.83 2130.41 178.70   0.00
4/6/12                     24 -1040.85 2130.45 178.73   0.00
1/2/4/5/7/8/9/12           47 -1016.81 2130.48 178.76   0.00
4/6/7/12                   25 -1039.84 2130.50 178.78   0.00
3/4/5/9/10/11              46 -1017.89 2130.51 178.80   0.00
3/4/5/7/8/9/10             47 -1016.84 2130.53 178.81   0.00
3/4/5/8/9/10/11/12         48 -1015.79 2130.55 178.84   0.00
1/4/5/9/12                 41 -1023.32 2130.80 179.09   0.00
1/2/4/5/8/9/11/12          47 -1016.98 2130.80 179.09   0.00
1/2/4/5/7/8/9              46 -1018.21 2131.16 179.44   0.00
1/2/4/5/7/9/11             46 -1018.37 2131.47 179.75   0.00
3/4/5/7/8/9/10/11/12       49 -1015.20 2131.49 179.77   0.00
1/2/4/5/8/9/11             46 -1018.44 2131.62 179.90   0.00
2/3/4/9/12                 25 -1040.45 2131.71 179.99   0.00
3/4/5/8/9/10/11            47 -1017.43 2131.72 180.00   0.00
4/6/8/12                   25 -1040.47 2131.75 180.03   0.00
3/4/5/7/9/10/11            47 -1017.46 2131.76 180.04   0.00
4/6/7/8/12                 26 -1039.53 2131.93 180.22   0.00
4/6/8/11                   25 -1040.58 2131.97 180.25   0.00
4/6/7/8/11                 26 -1039.57 2132.01 180.29   0.00
1/4/5/9/10/12              44 -1020.84 2132.18 180.47   0.00
1/4/5/9                    40 -1025.14 2132.35 180.63   0.00
4/6/7/11/12                26 -1039.77 2132.41 180.69   0.00
4/6/11/12                  25 -1040.80 2132.41 180.70   0.00
1/2/4/5/7/8/9/11/12        48 -1016.75 2132.47 180.75   0.00
1/4/5/7/9/12               42 -1023.16 2132.60 180.88   0.00
3/4/5/7/8/9/10/11          48 -1016.84 2132.65 180.93   0.00
1/4/5/8/9/12               42 -1023.23 2132.73 181.02   0.00
1/4/5/9/11/12              42 -1023.28 2132.83 181.11   0.00
1/2/4/5/7/8/9/11           47 -1018.16 2133.17 181.45   0.00
1/4/5/8/9                  41 -1024.63 2133.42 181.71   0.00
1/4/5/9/10                 43 -1022.56 2133.51 181.79   0.00
2/3/4/8/9/12               26 -1040.40 2133.67 181.95   0.00
2/3/4/9/10/12              28 -1038.34 2133.69 181.97   0.00
2/3/4/7/9/12               26 -1040.43 2133.74 182.02   0.00
4/6/8/11/12                26 -1040.44 2133.75 182.03   0.00
2/3/4/9/11/12              26 -1040.45 2133.77 182.06   0.00
1/4/5/7/9/10/12            45 -1020.62 2133.84 182.13   0.00
4/6/7/8/11/12              27 -1039.48 2133.90 182.18   0.00
1/4/5/8/9/10/12            45 -1020.70 2134.01 182.29   0.00
1/4/5/7/9                  41 -1024.98 2134.12 182.41   0.00
2/3/4/9                    24 -1042.69 2134.13 182.41   0.00
1/4/5/9/10/11/12           45 -1020.80 2134.21 182.49   0.00
1/4/5/9/11                 41 -1025.08 2134.33 182.62   0.00
1/4/5/8/9/10               44 -1021.94 2134.38 182.66   0.00
1/4/5/7/8/9/12             43 -1023.05 2134.48 182.76   0.00
1/4/5/7/9/11/12            43 -1023.14 2134.66 182.94   0.00
1/4/5/8/9/11/12            43 -1023.20 2134.79 183.07   0.00
1/4/5/7/8/9                42 -1024.39 2135.06 183.35   0.00
1/4/5/7/9/10               44 -1022.34 2135.17 183.45   0.00
2/3/4/8/9                  25 -1042.24 2135.29 183.58   0.00
1/4/5/8/9/11               42 -1024.60 2135.48 183.76   0.00
1/4/5/9/10/11              44 -1022.50 2135.49 183.78   0.00
2/3/4/8/9/10/12            29 -1038.25 2135.59 183.87   0.00
1/4/5/7/8/9/10/12          46 -1020.43 2135.59 183.88   0.00
2/3/4/7/8/9/12             27 -1040.39 2135.71 184.00   0.00
2/3/4/8/9/11/12            27 -1040.40 2135.74 184.02   0.00
2/3/4/7/9/10/12            29 -1038.33 2135.76 184.04   0.00
2/3/4/9/10/11/12           29 -1038.33 2135.76 184.04   0.00
2/3/4/7/9/11/12            27 -1040.43 2135.80 184.08   0.00
1/4/5/7/8/9/10             45 -1021.64 2135.89 184.17   0.00
1/4/5/7/9/10/11/12         46 -1020.59 2135.92 184.20   0.00
1/4/5/8/9/10/11/12         46 -1020.67 2136.07 184.36   0.00
2/3/4/7/9                  25 -1042.65 2136.11 184.40   0.00
2/3/4/9/11                 25 -1042.67 2136.15 184.43   0.00
1/4/5/7/9/11               42 -1024.94 2136.15 184.44   0.00
1/4/5/8/9/10/11            45 -1021.92 2136.45 184.73   0.00
1/2/3/5/6/9/10             70  -995.08 2136.53 184.81   0.00
1/4/5/7/8/9/11/12          44 -1023.03 2136.57 184.85   0.00
2/3/4/9/10                 27 -1040.86 2136.67 184.95   0.00
1/2/3/5/6/9/10/12          71  -994.15 2136.87 185.15   0.00
1/4/5/7/8/9/11             43 -1024.39 2137.16 185.44   0.00
1/4/5/7/9/10/11            45 -1022.30 2137.21 185.49   0.00
1/3/5/6/9/10/12            67  -998.69 2137.22 185.50   0.00
2/3/4/7/8/9                26 -1042.23 2137.34 185.62   0.00
2/3/4/8/9/11               26 -1042.24 2137.35 185.64   0.00
1/2/3/5/6/7/9/10           71  -994.50 2137.57 185.85   0.00
2/3/4/8/9/10               28 -1040.29 2137.60 185.88   0.00
1/2/3/5/6/9/10/11          71  -994.53 2137.62 185.90   0.00
2/3/4/8/9/10/11/12         30 -1038.24 2137.65 185.93   0.00
2/3/4/7/8/9/10/12          30 -1038.25 2137.67 185.95   0.00
1/4/5/7/8/9/10/11/12       47 -1020.42 2137.70 185.98   0.00
2/3/4/7/8/9/11/12          28 -1040.39 2137.78 186.07   0.00
2/3/4/7/9/10/11/12         30 -1038.33 2137.83 186.11   0.00
1/4/5/7/8/9/10/11          46 -1021.63 2137.99 186.28   0.00
1/2/3/5/6/7/9/10/12        72  -993.66 2138.07 186.35   0.00
1/2/3/5/6/9/10/11/12       72  -993.69 2138.12 186.40   0.00
2/3/4/7/9/11               26 -1042.62 2138.12 186.41   0.00
1/3/5/6/7/9/10/12          68  -998.17 2138.34 186.62   0.00
1/2/3/5/6/8/9/10           71  -994.97 2138.49 186.78   0.00
1/3/5/6/9/10               66 -1000.51 2138.68 186.96   0.00
2/3/4/7/9/10               28 -1040.85 2138.71 186.99   0.00
2/3/4/9/10/11              28 -1040.85 2138.72 187.00   0.00
1/3/5/6/9/10/11/12         68  -998.40 2138.81 187.09   0.00
1/2/3/5/6/7/9/10/11        72  -994.05 2138.85 187.14   0.00
1/2/3/5/6/8/9/10/12        72  -994.13 2139.01 187.29   0.00
1/3/5/6/8/9/10/12          68  -998.63 2139.27 187.55   0.00
2/3/4/7/8/9/11             27 -1042.23 2139.40 187.68   0.00
1/2/3/5/6/7/9/10/11/12     73  -993.27 2139.47 187.75   0.00
1/2/3/5/6/7/8/9/10         72  -994.38 2139.51 187.79   0.00
1/3/5/6/7/9/10             67  -999.88 2139.59 187.88   0.00
2/3/4/8/9/10/11            29 -1040.29 2139.67 187.95   0.00
2/3/4/7/8/9/10             29 -1040.29 2139.67 187.95   0.00
1/2/3/5/6/8/9/10/11        72  -994.46 2139.68 187.96   0.00
2/3/4/7/8/9/10/11/12       31 -1038.24 2139.72 188.01   0.00
1/3/5/6/7/9/10/11/12       69  -997.92 2140.02 188.31   0.00
1/3/5/6/9/10/11            67 -1000.15 2140.13 188.41   0.00
1/2/3/5/6/7/8/9/10/12      73  -993.63 2140.20 188.48   0.00
1/2/3/5/6/8/9/10/11/12     73  -993.68 2140.30 188.58   0.00
1/3/5/6/8/9/10             67 -1000.24 2140.31 188.60   0.00
1/3/5/6/7/8/9/10/12        69  -998.09 2140.37 188.66   0.00
2/3/4/7/9/10/11            29 -1040.83 2140.76 189.04   0.00
1/2/3/5/6/7/8/9/10/11      73  -993.98 2140.89 189.18   0.00
1/3/5/6/8/9/10/11/12       69  -998.36 2140.92 189.20   0.00
1/3/5/6/7/9/10/11          68  -999.58 2141.17 189.46   0.00
1/3/5/6/7/8/9/10           68  -999.60 2141.20 189.49   0.00
1/2/3/5/6/7/8/9/10/11/12   74  -993.25 2141.64 189.92   0.00
2/3/4/7/8/9/10/11          30 -1040.29 2141.75 190.03   0.00
1/3/5/6/8/9/10/11          68  -999.94 2141.89 190.17   0.00
1/3/5/6/7/8/9/10/11/12     70  -997.87 2142.11 190.40   0.00
1/3/5/6/7/8/9/10/11        69  -999.36 2142.90 191.18   0.00
1/2/3/5/6/9                67 -1002.14 2144.11 192.40   0.00
1/2/3/5/6/9/11             68 -1001.50 2145.02 193.30   0.00
1/2/3/5/6/7/9              68 -1001.54 2145.09 193.37   0.00
1/2/3/5/6/9/12             68 -1001.63 2145.27 193.55   0.00
3/4/5/12                   37 -1034.83 2145.43 193.71   0.00
1/2/3/5/6/10               64 -1006.22 2145.75 194.03   0.00
1/2/3/5/6/8/9              68 -1002.03 2146.07 194.36   0.00
1/2/3/5/6/7/10             65 -1005.31 2146.10 194.39   0.00
1/2/3/5/6/7/9/11           69 -1001.02 2146.22 194.51   0.00
1/2/3/5/6/9/11/12          69 -1001.04 2146.26 194.54   0.00
1/2/3/5/6/7/9/12           69 -1001.08 2146.36 194.64   0.00
3/4/5                      36 -1036.53 2146.73 195.01   0.00
3/4/5/8/12                 38 -1034.51 2146.88 195.16   0.00
3/4/5/7/12                 38 -1034.55 2146.95 195.24   0.00
1/2/3/5/6/10/12            65 -1005.75 2146.99 195.27   0.00
1/2/3/6/9/10               48 -1024.03 2147.03 195.31   0.00
1/2/3/5/6/7/8/9            69 -1001.42 2147.03 195.32   0.00
1/2/3/5/6/8/9/11           69 -1001.44 2147.06 195.35   0.00
1/2/3/6/9/10/11            49 -1023.13 2147.37 195.65   0.00
1/2/3/5/6/8/9/12           69 -1001.60 2147.38 195.66   0.00
3/4/5/11/12                38 -1034.80 2147.45 195.74   0.00
1/2/3/5/6/8/10             65 -1005.99 2147.45 195.74   0.00
1/2/3/5/6/7/10/12          66 -1004.91 2147.48 195.76   0.00
1/2/3/5/6/7/9/11/12        70 -1000.59 2147.55 195.83   0.00
1/2/3/5/6/10/11            65 -1006.04 2147.57 195.85   0.00
1/2/3/5/6/7/8/10           66 -1005.09 2147.84 196.12   0.00
1/2/3/6/9/10/12            49 -1023.46 2148.02 196.30   0.00
1/2/3/6/7/9/10             49 -1023.48 2148.06 196.35   0.00
1/2/3/5/6/7/10/11          66 -1005.21 2148.07 196.35   0.00
1/2/3/5/6/7/8/9/11         70 -1000.94 2148.26 196.54   0.00
1/2/3/5/6/8/10/12          66 -1005.34 2148.34 196.63   0.00
3/4/5/7                    37 -1036.29 2148.35 196.63   0.00
1/2/3/5/6/8/9/11/12        70 -1001.02 2148.42 196.70   0.00
1/2/3/5/6/7/8/9/12         70 -1001.04 2148.45 196.74   0.00
3/4/5/7/8/12               39 -1034.27 2148.51 196.79   0.00
1/2/3/6/9/10/11/12         50 -1022.71 2148.64 196.92   0.00
1/2/3/6/7/9/10/11          50 -1022.71 2148.65 196.94   0.00
3/4/5/8                    37 -1036.50 2148.77 197.05   0.00
3/4/5/11                   37 -1036.52 2148.81 197.09   0.00
1/2/3/5/6/7/8/10/12        67 -1004.53 2148.89 197.18   0.00
3/4/5/7/11/12              39 -1034.47 2148.91 197.19   0.00
1/2/3/5/6/10/11/12         66 -1005.63 2148.91 197.19   0.00
1/2/3/6/8/9/10             49 -1023.91 2148.92 197.20   0.00
3/4/5/8/11/12              39 -1034.50 2148.95 197.24   0.00
1/2/3/6/7/9/10/12          50 -1022.95 2149.13 197.42   0.00
1/2/3/5/6/8/10/11          66 -1005.75 2149.15 197.43   0.00
1/2/3/6/8/9/10/11          50 -1023.09 2149.40 197.68   0.00
1/2/3/5/6/7/10/11/12       67 -1004.84 2149.51 197.80   0.00
1/2/3/5/6/7/8/9/11/12      71 -1000.57 2149.69 197.98   0.00
1/2/3/5/6/7/8/10/11        67 -1004.94 2149.71 197.99   0.00
2/3/4/10/12                22 -1052.57 2149.76 198.04   0.00
1/2/3/6/7/8/9/10           50 -1023.35 2149.92 198.20   0.00
1/2/3/6/7/9/10/11/12       51 -1022.30 2149.96 198.25   0.00
1/3/5/6/10/12              61 -1011.61 2150.04 198.33   0.00
1/2/3/6/8/9/10/12          50 -1023.43 2150.08 198.36   0.00
1/2/3/5/6/8/10/11/12       67 -1005.16 2150.14 198.43   0.00
3/4/5/7/11                 38 -1036.26 2150.39 198.67   0.00
3/4/5/7/8                  38 -1036.28 2150.42 198.70   0.00
1/3/5/6/9/12               64 -1008.56 2150.43 198.72   0.00
1/3/5/6/10                 60 -1012.92 2150.51 198.79   0.00
3/4/5/7/8/11/12            40 -1034.24 2150.54 198.83   0.00
1/2/3/6/7/8/9/10/11        51 -1022.65 2150.66 198.94   0.00
1/3/5/6/7/10/12            62 -1010.86 2150.70 198.98   0.00
3/4/5/10/12                40 -1034.34 2150.75 199.03   0.00
