
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
TraderIdAMBA                                             0.1473384    0.6188435    0.6192666   0.238             0.811940    
TraderIdANALYST                                          0.1034159    0.2820083    0.2822120   0.366             0.714031    
TraderIdASSOCIATE                                       -0.4707622    0.3617076    0.3619609   1.301             0.193399    
TraderIdATS                                              3.6616625    0.6240630    0.6245286   5.863 < 0.0000000000000002 ***
TraderIdMNGDIRECTOR                                      0.2264696    0.3316121    0.3318638   0.682             0.494975    
TraderIdVICE PRINCIPAL                                   0.1850730    0.3748295    0.3750804   0.493             0.621714    
TradeStatusBO-BO Confirmed                              -0.5347604    0.2387247    0.2389070   2.238             0.025198 *  
TradeStatusTerminated                                    2.4352029    1.0233558    1.0241282   2.378             0.017415 *  
TradeStatusTerminated/Void                             -13.5399080 4350.0844070 4353.4670615   0.003             0.997518    
UpdatedTime                                              0.8944703    0.6574889    0.6579751   1.359             0.174011    
CapturedByMIDOFFICE                                      0.6090901    0.3476566    0.3479240   1.751             0.080008 .  
CapturedByPROD ACCOUNTANT                               -0.2981093    0.5211143    0.5215181   0.572             0.567581    
CapturedByPROD CONTROLLER                               -0.8008109    0.3436271    0.3438896   2.329             0.019876 *  
CapturedByUNAUTHORISED                                  -0.1742564    0.5235273    0.5239318   0.333             0.739441    
TradedTime                                               0.7674361    0.7407244    0.7412721   1.035             0.300531    
UpdatedDay                                              -0.0083672    0.0098750    0.0098826   0.847             0.397184    
TradedDay                                               -0.0009453    0.0077467    0.0077527   0.122             0.902950    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

